date,BTC,SPY,QQQ,GLD,rolling_corr_BTC_SPY_30,rolling_corr_BTC_QQQ_30,rolling_corr_BTC_GLD_30
2017-01-03,0.014823352543222201,-0.6220444616969976,-0.6293300384528986,-0.9989548375467707,,,
2017-01-04,0.022418867402769216,0.005949196280729208,0.005437510457411587,0.003530370236263236,,,
2017-01-05,0.07696765967311925,-0.00079445669721534,0.005657708627696989,0.015515064044741012,,,
2017-01-06,-0.09882323395400572,0.0035777960312231016,0.008769752626959448,-0.007372535086160981,,,
2017-01-09,0.003917457514897249,-0.0033009109498249867,0.003280570819451434,0.008232662192393825,,,
2017-01-10,-0.014861225611431661,0.0,0.002207144608149969,0.004260228987308157,,,
2017-01-11,0.009841223792999454,0.002826101652588564,0.002691680261031948,0.0030932390631903672,,,
2017-01-12,-0.13969393956135012,-0.0025099382867909137,-0.0015455950538982854,0.0036123348017620405,,,
2017-01-13,0.03705273432483125,0.002295519367260024,0.0034218673616925877,0.0026336581511718915,,,
2017-01-17,0.012106684836833415,-0.0035234661499701225,-0.0030042221493921106,0.014359513177480077,,,
2017-01-18,0.08917901924718397,0.0022099447510892656,0.002035996416293484,-0.008459214501510437,,,
2017-01-19,-0.02018786079316548,-0.0037045027562291333,-0.000487646293734767,-0.000870549316618896,,,
2017-01-20,0.014993804213135009,0.003674033842372637,0.002195478939837736,0.0024396619325608437,,,
2017-01-23,0.0019306275624200175,-0.0026021477772550927,0.0008113590264009485,0.006431986093003106,,,
2017-01-24,-0.011085130336884075,0.00641172690028835,0.006728820428988147,-0.004490888677778804,,,
2017-01-25,-0.03070540327524296,0.008655540193534428,0.010066033177618783,-0.008241519909777062,,,
2017-01-26,0.008989576157294898,-0.0010454545136581173,0.0010364346647098177,-0.009272218334499538,,,
2017-01-27,0.023952631991314366,-0.001569794605222552,0.0019114367635459928,0.002030725763729313,,,
2017-01-30,-0.007173960374482924,-0.006201677048635279,-0.007790143084063339,0.0042294475284165856,,,
2017-01-31,0.008749904058069635,-8.791034837196676e-05,-0.002002884152834117,0.013863297358954085,,,
2017-02-01,0.04782660681094364,0.0003955346568336182,0.006903748895449757,-0.0030289917784508402,,,
2017-02-02,0.020415149534746213,0.0006590326124242818,-0.0008769831773102199,0.005555555555555536,,,
2017-02-03,0.025923327945347463,0.0068928830503736105,0.0028726460261163655,0.0025034530386740528,,,
2017-02-06,-0.02139994966995107,-0.001787751840641727,0.0011935073198026114,0.013519331783346411,,,
2017-02-07,0.012778541545095834,4.372078973280402e-05,0.0036557259794727237,-0.0020390824129142837,,,
2017-02-08,0.027822537329466046,0.0013104000933261695,0.0016628394967157512,0.006214881661842364,,,
2017-02-09,-0.0019762845849801147,0.005932651240074804,0.003636363636339235,-0.0076148574329468754,,,
2017-02-10,-0.06130997715156139,0.003946179429008767,0.0033081285442193575,0.002643021570466253,,,
2017-02-13,-0.011527064401422371,0.005442568473285947,0.005652378709264383,-0.006802721088435382,,,
2017-02-14,5.9956231950542005e-05,0.003995330085259541,0.0033567525371311913,0.0011130136986301498,-0.05707539319345706,-0.05702977410189293,-0.05221847369785111
2017-02-15,0.008083613944983581,0.005220372339504564,0.005913016416470462,0.004447105105618743,0.01510099867990981,0.01644917955849591,0.1370874525554833
2017-02-16,0.002626675124890898,-0.0008513408895141072,-0.0003093820096127242,0.005363984674329414,-0.006847656116258618,0.0018118447034428684,0.13443581203134167
2017-02-17,0.020928692179174258,0.001576324976349186,0.004332688588016165,-0.003387533875338633,0.02983853997936862,-0.04643377397131508,0.003748590649296006
2017-02-21,0.030614185206313094,0.005955204491176591,0.004930282721259838,0.0005948334466348015,0.1216402222375331,0.1378957022620017,-0.1279910832956016
2017-02-22,0.03747232472324713,-0.0008880121594759816,0.00038328861593606156,0.0013588110403397469,0.10405603302359548,0.11919774384577567,-0.13045294588134634
2017-02-23,0.004792729988796207,0.0006771753880643328,-0.0037547892719361764,0.008735476210669058,0.0977907213562542,0.11426315802588857,-0.12095166187926239
2017-02-24,0.051415474199343336,0.0012688335199175782,0.0019229290059461501,0.006389776357827559,0.09250853005173452,0.1104931385069147,-0.08865833333044862
2017-02-27,0.02330324596424216,0.001562879074952006,0.0012283126054433158,-0.004845446950710097,-0.07195589455476438,-0.029394718151750935,-0.08517557736236618
2017-02-28,0.013222509647597747,-0.002699169150698677,-0.0030670142617371665,0.0009234385493619435,-0.08204520912314128,-0.045888451289704375,-0.09242299445853348
2017-03-01,-0.0028711578383446845,0.013997538740653015,0.010921396708303721,-0.0014258156504235453,-0.11746961810261902,-0.07818362057633946,-0.0961813723343881
2017-03-02,0.029532995861351052,-0.006297418493110052,-0.0050213024954716134,-0.012430707206450564,-0.19389642240841337,-0.1346728225437498,0.0014022723771058706
2017-03-03,0.02544867456518718,0.000629512727259085,0.0018351429884595483,-0.0005953393434257048,-0.26318112857935255,-0.16684364615286318,-0.015410704219765127
2017-03-06,0.01031746031746028,-0.002977900369186881,-0.002213402534618658,-0.006722832099395837,-0.2637229550867865,-0.1651889073537289,-0.018349924033678286
2017-03-07,0.004312647289866467,-0.00298686205483234,-0.0016828577982581638,-0.008053461274845741,-0.26586240848820003,-0.1596795166543487,0.0027460700069934347
2017-03-08,-0.035541928368622355,-0.0018565485230623846,0.001762317063815022,-0.006218690620141687,-0.17558014929234575,-0.12053128994365978,0.04275603734057596
2017-03-09,-0.0673127610396983,0.0012681898990669627,0.0007648768548567109,-0.005127759429862655,-0.07870177394813001,0.014263801645209729,0.05207026813032905
